Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Trondheim - Voll;SN68860;01.01.2023 01:00;-1,6
Trondheim - Voll;SN68860;01.01.2023 02:00;-1,8
Trondheim - Voll;SN68860;01.01.2023 03:00;-1,9
Trondheim - Voll;SN68860;01.01.2023 04:00;-2,2
Trondheim - Voll;SN68860;01.01.2023 05:00;-2,4
Trondheim - Voll;SN68860;01.01.2023 06:00;-2,4
Trondheim - Voll;SN68860;01.01.2023 07:00;-2,3
Trondheim - Voll;SN68860;01.01.2023 08:00;-2,2
Trondheim - Voll;SN68860;01.01.2023 09:00;-2,1
Trondheim - Voll;SN68860;01.01.2023 10:00;-2
Trondheim - Voll;SN68860;01.01.2023 11:00;-1,8
Trondheim - Voll;SN68860;01.01.2023 12:00;-1,4
Trondheim - Voll;SN68860;01.01.2023 13:00;-3,3
Trondheim - Voll;SN68860;01.01.2023 14:00;-4,1
Trondheim - Voll;SN68860;01.01.2023 15:00;-4,8
Trondheim - Voll;SN68860;01.01.2023 16:00;-5,1
Trondheim - Voll;SN68860;01.01.2023 17:00;-4,8
Trondheim - Voll;SN68860;01.01.2023 18:00;-6,8
Trondheim - Voll;SN68860;01.01.2023 19:00;-7,5
Trondheim - Voll;SN68860;01.01.2023 20:00;-6,2
Trondheim - Voll;SN68860;01.01.2023 21:00;-7,4
Trondheim - Voll;SN68860;01.01.2023 22:00;-6,8
Trondheim - Voll;SN68860;01.01.2023 23:00;-7,4
Trondheim - Voll;SN68860;02.01.2023 00:00;-7,4
Trondheim - Voll;SN68860;02.01.2023 01:00;-6,2
Trondheim - Voll;SN68860;02.01.2023 02:00;-7
Trondheim - Voll;SN68860;02.01.2023 03:00;-7,2
Trondheim - Voll;SN68860;02.01.2023 04:00;-6,6
Trondheim - Voll;SN68860;02.01.2023 05:00;-7
Trondheim - Voll;SN68860;02.01.2023 06:00;-7,2
Trondheim - Voll;SN68860;02.01.2023 07:00;-7,4
Trondheim - Voll;SN68860;02.01.2023 08:00;-8,2
Trondheim - Voll;SN68860;02.01.2023 09:00;-7,7
Trondheim - Voll;SN68860;02.01.2023 10:00;-7,1
Trondheim - Voll;SN68860;02.01.2023 11:00;-7,1
Trondheim - Voll;SN68860;02.01.2023 12:00;-7,3
Trondheim - Voll;SN68860;02.01.2023 13:00;-6,8
Trondheim - Voll;SN68860;02.01.2023 14:00;-7,1
Trondheim - Voll;SN68860;02.01.2023 15:00;-6,6
Trondheim - Voll;SN68860;02.01.2023 16:00;-6,7
Trondheim - Voll;SN68860;02.01.2023 17:00;-6,3
Trondheim - Voll;SN68860;02.01.2023 18:00;-6,5
Trondheim - Voll;SN68860;02.01.2023 19:00;-6,4
Trondheim - Voll;SN68860;02.01.2023 20:00;-7,3
Trondheim - Voll;SN68860;02.01.2023 21:00;-6,5
Trondheim - Voll;SN68860;02.01.2023 22:00;-6,3
Trondheim - Voll;SN68860;02.01.2023 23:00;-6,6
Trondheim - Voll;SN68860;03.01.2023 00:00;-7,7
Trondheim - Voll;SN68860;03.01.2023 01:00;-6,1
Trondheim - Voll;SN68860;03.01.2023 02:00;-5,4
Trondheim - Voll;SN68860;03.01.2023 03:00;-5,4
Trondheim - Voll;SN68860;03.01.2023 04:00;-4,6
Trondheim - Voll;SN68860;03.01.2023 05:00;-5,3
Trondheim - Voll;SN68860;03.01.2023 06:00;-4,9
Trondheim - Voll;SN68860;03.01.2023 07:00;-4
Trondheim - Voll;SN68860;03.01.2023 08:00;-4,2
Trondheim - Voll;SN68860;03.01.2023 09:00;-4
Trondheim - Voll;SN68860;03.01.2023 10:00;-3,9
Trondheim - Voll;SN68860;03.01.2023 11:00;-3,2
Trondheim - Voll;SN68860;03.01.2023 12:00;-3,7
Trondheim - Voll;SN68860;03.01.2023 13:00;-3,7
Trondheim - Voll;SN68860;03.01.2023 14:00;-5,4
Trondheim - Voll;SN68860;03.01.2023 15:00;-5,8
Trondheim - Voll;SN68860;03.01.2023 16:00;-6,9
Trondheim - Voll;SN68860;03.01.2023 17:00;-7,2
Trondheim - Voll;SN68860;03.01.2023 18:00;-7,3
Trondheim - Voll;SN68860;03.01.2023 19:00;-7,8
Trondheim - Voll;SN68860;03.01.2023 20:00;-8,1
Trondheim - Voll;SN68860;03.01.2023 21:00;-7,8
Trondheim - Voll;SN68860;03.01.2023 22:00;-8,1
Trondheim - Voll;SN68860;03.01.2023 23:00;-8,5
Trondheim - Voll;SN68860;04.01.2023 00:00;-8,6
Trondheim - Voll;SN68860;04.01.2023 01:00;-8,8
Trondheim - Voll;SN68860;04.01.2023 02:00;-8
Trondheim - Voll;SN68860;04.01.2023 03:00;-7,4
Trondheim - Voll;SN68860;04.01.2023 04:00;-7,1
Trondheim - Voll;SN68860;04.01.2023 05:00;-5
Trondheim - Voll;SN68860;04.01.2023 06:00;-3,7
Trondheim - Voll;SN68860;04.01.2023 07:00;-3,5
Trondheim - Voll;SN68860;04.01.2023 08:00;-2,9
Trondheim - Voll;SN68860;04.01.2023 09:00;-3,4
Trondheim - Voll;SN68860;04.01.2023 10:00;-3,1
Trondheim - Voll;SN68860;04.01.2023 11:00;-2,8
Trondheim - Voll;SN68860;04.01.2023 12:00;-2,4
Trondheim - Voll;SN68860;04.01.2023 13:00;-1,8
Trondheim - Voll;SN68860;04.01.2023 14:00;-2,3
Trondheim - Voll;SN68860;04.01.2023 15:00;-3,5
Trondheim - Voll;SN68860;04.01.2023 16:00;-4,1
Trondheim - Voll;SN68860;04.01.2023 17:00;-3,9
Trondheim - Voll;SN68860;04.01.2023 18:00;-2,8
Trondheim - Voll;SN68860;04.01.2023 19:00;-2,5
Trondheim - Voll;SN68860;04.01.2023 20:00;-2,8
Trondheim - Voll;SN68860;04.01.2023 21:00;-3,1
Trondheim - Voll;SN68860;04.01.2023 22:00;-3
Trondheim - Voll;SN68860;04.01.2023 23:00;-3,2
Trondheim - Voll;SN68860;05.01.2023 00:00;-3,5
Trondheim - Voll;SN68860;05.01.2023 01:00;-3,5
Trondheim - Voll;SN68860;05.01.2023 02:00;-3,4
Trondheim - Voll;SN68860;05.01.2023 03:00;-3,1
Trondheim - Voll;SN68860;05.01.2023 04:00;-3,1
Trondheim - Voll;SN68860;05.01.2023 05:00;-3,2
Trondheim - Voll;SN68860;05.01.2023 06:00;-3,1
Trondheim - Voll;SN68860;05.01.2023 07:00;-3
Trondheim - Voll;SN68860;05.01.2023 08:00;-3,3
Trondheim - Voll;SN68860;05.01.2023 09:00;-3,4
Trondheim - Voll;SN68860;05.01.2023 10:00;-3,2
Trondheim - Voll;SN68860;05.01.2023 11:00;-3,2
Trondheim - Voll;SN68860;05.01.2023 12:00;-3,4
Trondheim - Voll;SN68860;05.01.2023 13:00;-3,2
Trondheim - Voll;SN68860;05.01.2023 14:00;-3,2
Trondheim - Voll;SN68860;05.01.2023 15:00;-3,1
Trondheim - Voll;SN68860;05.01.2023 16:00;-2,9
Trondheim - Voll;SN68860;05.01.2023 17:00;-2,9
Trondheim - Voll;SN68860;05.01.2023 18:00;-3,3
Trondheim - Voll;SN68860;05.01.2023 19:00;-2,6
Trondheim - Voll;SN68860;05.01.2023 20:00;-2,9
Trondheim - Voll;SN68860;05.01.2023 21:00;-2,9
Trondheim - Voll;SN68860;05.01.2023 22:00;-2,9
Trondheim - Voll;SN68860;05.01.2023 23:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 00:00;-2,5
Trondheim - Voll;SN68860;06.01.2023 01:00;-2,6
Trondheim - Voll;SN68860;06.01.2023 02:00;-2,9
Trondheim - Voll;SN68860;06.01.2023 03:00;-3
Trondheim - Voll;SN68860;06.01.2023 04:00;-2,6
Trondheim - Voll;SN68860;06.01.2023 05:00;-2,6
Trondheim - Voll;SN68860;06.01.2023 06:00;-2,8
Trondheim - Voll;SN68860;06.01.2023 07:00;-3,5
Trondheim - Voll;SN68860;06.01.2023 08:00;-3,4
Trondheim - Voll;SN68860;06.01.2023 09:00;-3,3
Trondheim - Voll;SN68860;06.01.2023 10:00;-2,5
Trondheim - Voll;SN68860;06.01.2023 11:00;-2,5
Trondheim - Voll;SN68860;06.01.2023 12:00;-2,8
Trondheim - Voll;SN68860;06.01.2023 13:00;-2,8
Trondheim - Voll;SN68860;06.01.2023 14:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 15:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 16:00;-2,6
Trondheim - Voll;SN68860;06.01.2023 17:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 18:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 19:00;-2,3
Trondheim - Voll;SN68860;06.01.2023 20:00;-2,1
Trondheim - Voll;SN68860;06.01.2023 21:00;-2,1
Trondheim - Voll;SN68860;06.01.2023 22:00;-1,9
Trondheim - Voll;SN68860;06.01.2023 23:00;-2,1
Trondheim - Voll;SN68860;07.01.2023 00:00;-1,8
